Latitude,Longitude,Date,Town,Oblast,Country,Incident_type,Incident_sub_type,Source_1
47.097133,37.543367,3/16/2022,Mariupol,Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/300000-people-trapped-in-besieged-mariupol-face-living-hell
49.065783,33.410033,6/28/2022,Kremenchuk,Poltava Oblast,UA,missile,,https://kyivindependent.com/national/minister-says-at-least-18-killed-seven-body-fragments-found-after-russian-missile-strike-on-kremenchuk-mall
50.4501,30.5234,4/6/2022,Kyiv,Kyiv city,UA,land,direct_fire,https://kyivindependent.com/national/as-ukraine-regains-control-of-borodyanka-area-more-russians-atrocities-come-to-light
50.4501,30.5234,7/17/2022,Kyiv,Kyiv city,UA,security,arrest,https://kyivindependent.com/national/zelensky-fires-prosecutor-general-security-service-chief
48.9764573,23.9892458,9/6/2022,Dolyna,Ivano-Frankivsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/ukraine-war-latest-ukraine-conducts-counteroffensive-in-south-east-and-north
48.6798458,39.4672507,2/20/2022,Stanytsia Luhanska,Luhansk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/russia-intensifies-barrage-of-flimsy-yet-dangerous-disinformation
50.4501,30.5234,3/3/2022,Kyiv,Kyiv city,UA,land,indirect_fire,https://kyivindependent.com/national/kyiv-under-shelling-first-thing-i-heard-was-scream-of-my-child
49.4643925,36.8584805,9/16/2022,Balakliya,Kharkiv Oblast,UA,targeted,intimidation,https://kyivindependent.com/national/police-discover-10-torture-chambers-in-liberated-areas-in-kharkiv-oblast
46.635417,32.616867,11/1/2022,Kherson,Kherson Oblast,UA,air,loitering_munition,https://kyivindependent.com/national/ukraine-war-latest-russian-proxies-intensify-deportation-campaign-in-kherson-oblast
48.1031637,38.5920837,5/2/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/families-mourn-fallen-defenders-of-ukraine
48.574041,39.307815,7/3/2022,Luhansk,Luhansk Oblast,UA,security,arrest,https://kyivindependent.com/national/both-ukraine-and-russia-claim-to-control-lysychansk-ukraines-last-major-bastion-in-luhansk-oblast
48.1031637,38.5920837,9/19/2022,,Donbas,UA,security,arrest,https://kyivindependent.com/national/retired-us-general-if-russia-used-nuclear-weapon-in-ukraine-us-would-have-to-get-directly-involved
47.097133,37.543367,2/24/2022,Mariupol,Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/dozens-of-ukrainians-killed-within-hours-of-russian-invasion
49.839683,24.029717,5/3/2022,Lviv,Lviv Oblast,UA,missile,,https://kyivindependent.com/national/russian-missiles-rain-down-all-over-ukraine-fired-mostly-from-caspian-sea
49.9742883,23.5488713,2/3/2022,Starychi,Lviv Oblast,UA,security,arrest,https://kyivindependent.com/national/canadian-military-veteran-wants-his-country-to-act-on-ukraine
50.4501,30.5234,7/6/2022,Kyiv,Kyiv city,UA,missile,,https://kyivindependent.com/national/kyiv-residents-lose-their-homes-after-latest-missile-strike
48.1031637,38.5920837,10/3/2022,,Donbas,UA,missile,,https://kyivindependent.com/national/ukraine-war-latest-ukraine-making-more-gains-in-east-and-south
48.1031637,38.5920837,8/8/2022,,Donbas,UA,land,direct_fire,https://kyivindependent.com/national/russia-masses-forces-in-south-ahead-of-counterattack
49.839683,24.029717,8/29/2022,Lviv,Lviv Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/many-ukrainian-schools-to-reopen-this-week-as-russias-war-continues
50.4501,30.5234,10/18/2022,Kyiv,Kyiv city,UA,air,loitering_munition,https://kyivindependent.com/national/ukraine-war-latest-russia-intensifies-attacks-on-ukraines-energy-facilities
46.482526,30.7233095,4/23/2022,Odesa,Odessa Oblast,UA,air,fixed_wing,https://kyivindependent.com/national/russian-airstrike-kills-6-people-in-odesa-including-3-month-old
47.097133,37.543367,4/11/2022,Mariupol,Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/defenders-of-besieged-mariupol-plead-for-help-criticize-commandment
50.553333,30.213517,8/18/2022,Bucha,Kyiv Oblast,UA,targeted,abduction,https://kyivindependent.com/national/months-after-russian-withdrawal-bucha-begins-burying-bodies-of-unidentified-victims-photos
47.5015067,34.6341859,8/10/2022,Enerhodar,Zaporizhia Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/occupied-ukrainian-plant-becomes-epicenter-of-russias-nuclear-blackmail
48.5986674,37.9980367,10/25/2022,Bakhmut,Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/ukraine-war-latest-zelensky-makes-new-plea-for-foreign-aid
48.1031637,38.5920837,1/30/2022,,Donbas,UA,security,arrest,https://kyivindependent.com/national/weekend-news-wrap-up-2
48.1031637,38.5920837,7/25/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/after-8-years-of-helping-people-in-war-torn-east-vostok-sos-humanitarian-efforts-become-as-essential-as-ever
48.5986674,37.9980367,8/30/2022,Bakhmut,Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/ukraine-war-latest-southern-counteroffensive-underway-as-russia-ramps-up-shelling-in-east
46.482526,30.7233095,9/1/2022,Odesa,Odessa Oblast,UA,missile,,https://kyivindependent.com/national/children-go-back-to-school-as-russias-war-rages-on
48.136596,37.7491335,12/7/2021,Avdiivka,Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/russia-brings-more-tanks-artillery-to-ukrainian-border
48.1031637,38.5920837,1/25/2022,,Donbas,UA,security,arrest,https://kyivindependent.com/national/us-delivers-300-more-javelins-to-ukraine
50.6199,26.251617,1/26/2022,Rivne,Rivne Oblast,UA,security,arrest,https://kyivindependent.com/national/jan-25-news-wrap-up
46.482526,30.7233095,5/24/2022,Odesa,Odessa Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/mykolaiv-holds-on-through-russian-bombardment-lack-of-water
48.9001251,37.7248512,10/6/2022,Raihorodok,Donetsk Oblast,UA,security,arrest,https://kyivindependent.com/national/ukraine-war-latest-ukraine-retakes-more-settlements-as-russians-strike-zaporizhzhia-again
48.1031637,38.5920837,1/31/2022,,Donbas,UA,security,arrest,https://kyivindependent.com/national/want-to-help-ukraines-military-as-a-foreigner-heres-what-you-can-do
48.1031637,38.5920837,6/15/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/ukraines-military-expects-massive-arms-supplies-as-russias-war-deteriorates
48.574041,39.307815,2/19/2022,Luhansk,Luhansk Oblast,UA,security,arrest,https://kyivindependent.com/national/russias-proxies-announce-mobilization
50.553333,30.213517,3/31/2022,Bucha,Kyiv Oblast,UA,land,direct_fire,https://kyivindependent.com/national/inside-a-hospital-in-occupied-town-near-kyiv
48.1031637,38.5920837,5/14/2022,,Donbas,UA,targeted,abduction,https://kyivindependent.com/national/azovstal-garrison-well-keep-fighting-as-long-as-were-alive
48.6683422,38.4835738,11/21/2021,Katerynivka,Luhansk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/russian-led-militants-shell-2-ukrainian-villages
50.3150962,34.9005644,2/26/2022,Okhtyrka,Sumy Oblast,UA,air,fixed_wing,https://kyivindependent.com/national/russia-faces-heavy-losses-as-it-attacks-ukraine-on-all-fronts
48.1031637,38.5920837,12/24/2021,,Donbas,UA,security,arrest,https://kyivindependent.com/national/putins-press-conference-statements-about-ukraine-debunked
49.9935,36.230383,5/13/2022,Kharkiv,Kharkiv Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/ukrainian-forces-hold-off-russians-in-donetsk-oblast
48.1031637,38.5920837,2/19/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/biden-warns-that-putin-decided-to-invade-as-russian-proxies-in-ukraine-appear-to-stage-escalation
49.9935,36.230383,10/10/2022,Kharkiv,Kharkiv Oblast,UA,air,loitering_munition,https://kyivindependent.com/national/ukraine-racked-by-intense-bombardment-of-cities-energy-infrastructure-and-central-kyiv-among-targets
48.738967,37.58435,9/7/2022,Kramatorsk,Donetsk Oblast,UA,blast,ied,https://kyivindependent.com/national/survivor-of-russian-strike-on-kramatorsk-train-station-dead-people-were-everywhere
48.1031637,38.5920837,2/19/2022,,Donbas,UA,security,arrest,https://kyivindependent.com/national/russias-proxies-declare-mobilization-amid-heightened-tensions-in-donbas
49.839683,24.029717,3/23/2022,Lviv,Lviv Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/ukraines-unofficial-western-capital-lviv-is-calm-but-prepares-for-war
48.574041,39.307815,10/5/2022,Luhansk,Luhansk Oblast,UA,air,loitering_munition,https://kyivindependent.com/national/ukraine-war-latest-ukraine-advances-into-luhansk-oblast-recaptures-6-settlements
47.910483,33.391783,7/25/2022,Kryvyi Rih,Dnipropetrovsk Oblast,UA,security,arrest,https://kyivindependent.com/national/industrial-kryvyi-rih-strives-for-survival-restoring-production-amid-war
48.9481767,38.4878773,6/30/2022,Severodonetsk,Luhansk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/as-ukraine-withdraws-from-sievierodonetsk-battle-of-donbas-enters-next-phase
50.4501,30.5234,2/2/2022,Kyiv,Kyiv city,UA,air,fixed_wing,https://kyivindependent.com/national/dutch-pm-urges-justice-for-mh17-victims-pushes-to-continue-dialogue-with-russia
50.4501,30.5234,4/13/2022,Kyiv,Kyiv city,UA,security,arrest,https://kyivindependent.com/national/explainer-who-is-viktor-medvedchuk-why-his-arrest-big-deal
48.464717,35.046183,1/27/2022,Dnipro,Dnipropetrovsk Oblast,UA,security,arrest,https://kyivindependent.com/national/conscript-arrested-after-allegedly-killing-5-people-in-unprecedented-shooting-spree
50.4501,30.5234,10/26/2022,Kyiv,Kyiv city,UA,air,rotary_wing,https://kyivindependent.com/national/ukrainian-aerospace-company-allegedly-supplied-military-helicopter-parts-to-russia-during-war
49.9935,36.230383,6/7/2022,Kharkiv,Kharkiv Oblast,UA,targeted,abduction,https://kyivindependent.com/national/portrait-of-the-invader-understanding-the-russian-soldier
48.015883,37.80285,7/7/2022,Donetsk,Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/1234
48.1031637,38.5920837,12/3/2021,,Donbas,UA,security,arrest,https://kyivindependent.com/national/defense-minister-reznikov-russia-might-use-94300-troops-to-invade-ukraine
48.1031637,38.5920837,12/5/2021,,Donbas,UA,air,uav,https://kyivindependent.com/national/bloomberg-turkey-ready-to-sell-over-20-bayraktar-drones-to-ukraine
46.975033,31.994583,11/9/2022,Mykolaiv,Mykolaiv Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/voices-from-the-trenches-ukrainian-soldiers-near-kherson-share-what-they-feel-and-fear
47.8388,35.139567,3/4/2022,Zaporizhzhia,Zaporizhia Oblast,UA,security,arrest,https://kyivindependent.com/national/russia-captures-europes-largest-nuclear-power-plant-in-ukraine
48.015883,37.80285,10/2/2022,Donetsk,Donetsk Oblast,UA,air,fixed_wing,https://kyivindependent.com/national/ukraine-war-latest-ukraines-counteroffensive-continues-after-russian-defeat-in-lyman
48.5986674,37.9980367,9/20/2022,Bakhmut,Donetsk Oblast,UA,missile,,https://kyivindependent.com/national/ukraine-war-latest-moscows-proxies-in-4-regions-announce-dates-for-referendums-to-join-russia-ukraine-and-west-denounce-the-plan
48.3972873,37.855245,9/23/2022,Toretsk,Donetsk Oblast,UA,targeted,abduction,https://kyivindependent.com/national/ukraine-war-latest-staged-secession-voting-begins-in-4-occupied-regions
50.553333,30.213517,4/22/2022,Bucha,Kyiv Oblast,UA,targeted,abduction,https://kyivindependent.com/national/uncovering-the-scope-of-the-bucha-massacre
48.1031637,38.5920837,1/17/2022,,Donbas,UA,security,arrest,https://kyivindependent.com/national/ukraine-daily-weekend-news-round-up
47.097133,37.543367,9/17/2022,Mariupol,Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/ukrainians-emerge-from-a-6-month-nightmare-in-newly-liberated-territories
