Latitude,Longitude,Date,Town,Oblast,Country,Incident_type,Incident_sub_type,Source_1
50.4501,30.5234,11/15/2022,Kyiv,Kyiv city,UA,missile,,https://www.pravda.com.ua/eng/news/2022/11/15/7376505/
47.8388,35.139567,8/28/2022,Zaporizhzhia,Zaporizhia Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/08/28/7365136/
46.482526,30.7233095,9/26/2022,Odesa,Odessa Oblast,UA,security,raid,https://www.pravda.com.ua/eng/news/2022/09/26/7369181/
47.097133,37.543367,9/19/2022,Mariupol,Donetsk Oblast,UA,security,arrest,https://www.pravda.com.ua/eng/news/2022/09/19/7368084/
48.015883,37.80285,5/3/2022,Donetsk,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/05/3/7343707/
48.738967,37.58435,7/22/2022,Kramatorsk,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/07/22/7359561/
46.8117208,33.4901963,4/21/2022,Kakhovka,Kherson Oblast,UA,security,arrest,https://www.pravda.com.ua/eng/news/2022/04/21/7341051/
47.6264367,34.5297956,10/26/2022,Chervonohryhorivka,Dnipropetrovsk Oblast,UA,air,loitering_munition,https://www.pravda.com.ua/eng/news/2022/10/26/7373528/
50.6445031,29.9146299,4/6/2022,Borodyanka,Kyiv Oblast,UA,air,loitering_munition,https://www.pravda.com.ua/eng/news/2022/04/6/7337595/
46.635417,32.616867,10/26/2022,Kherson,Kherson Oblast,UA,targeted,sabotage,https://www.pravda.com.ua/eng/news/2022/10/26/7373604/
50.51875,30.239783,3/6/2022,Irpin,Kyiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/6/7328734/
50.553333,30.213517,4/12/2022,Bucha,Kyiv Oblast,UA,targeted,murder,https://www.pravda.com.ua/eng/news/2022/04/12/7339098/
46.6187667,31.5387942,10/14/2022,Ochakiv,Mykolaiv Oblast,UA,air,loitering_munition,https://www.pravda.com.ua/eng/news/2022/10/14/7371956/
48.015883,37.80285,6/25/2022,Donetsk,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/06/25/7354651/
48.507933,32.262317,5/3/2022,Kropyvnytskyi,Kirovohrad Oblast,UA,air,surface_to_air,https://www.pravda.com.ua/eng/news/2022/05/3/7343808/
46.635417,32.616867,11/23/2022,Kherson,Kherson Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/11/23/7377685/
